name,image_url,label,handle
mountaintee,https://abannews.com/social/looks/ex-tshirt-mountain.png,Dein Design – T-Shirt,selbst-gestalten
sunsethoodie,https://abannews.com/social/looks/ex-hoodie-sunset.png,Dein Design – Hoodie,selbst-gestalten
skulltee,https://abannews.com/social/looks/ex2-tee-skull-flowers.png,Dein Design – T-Shirt,selbst-gestalten
quotemug,https://abannews.com/social/looks/ex-mug-quote.png,Dein Spruch – Tasse,selbst-gestalten
cattote,https://abannews.com/social/looks/ex-tote-cat.png,Dein Motiv – Tasche,selbst-gestalten
